"datetime","title","service","voc_type","voc_date","text"
"2019-03-13 오후 3:10:57","버스 탑승관련 문의",">  >","","","안녕하십니까 !항상 사원들의 편리한 교통수단을 위해 노력하시는 담당자분들 감사합니다.3월12일 20:00 출발하시는 기사님과 약간의  말다툼이 있어서 문의 드립니다.20:00분에 출발하는 모든 모든 차량이 대기 노선에서 출발을 기다리고 있는데송정동 운행차량은 출발 노선에 대기를 하지않고 뒷편에서 시동은 켜놓고 출발시간 20분전에 버스문을 열어주기에 미리 차량대기하면  안되냐고 하였는데 대뜸 자기한테 욕을 했냐면서 언성을 높입니다.그리고 기사님이 버스대기는 20분 전에만 대기하면 아무런 문제가 없다고 말씀 하시고 기사님도 개인적인 볼일이 있는데 그런거 가지고 이야기를 하냐 라고 말씀하는데이건 아니라는 생각에 글을 작성하게 되었습니다.그리고 버스대기는 20분전에만 대기 하는게 규정에 있는건지요?만약있다면 구성원이 알수 있도록 공지하는게 좋을것 같습니다.마지막으로 아무리 기사분이 연장자 이지만 그래도 구성원도 손님인데 말을 함부로 하는것은 아니라고 생각에 몇자 적어 보았습니다.."
"2019-03-13 오후 1:33:42","출근 버스 노선도 모바일앱(happyRoad)에 자세히 기재 해 주셨으면 좋겠습니다.","통근/셔틀버스 > 이천 > 장거리출근 > 신대방선","불편 - 이상운행(결행,지연,미정차)","2019-03-13","3월 13일 수요일 신대방선 오전 06:30 통근 버스를 타기위해 봉천역 3번출구 앞에서 20분전부터 기다렸습니다.모바일 맵(happyRoad)에 있는 위치를 t맵으로 지도위치까지 다 확인해서 기다렸습니다. 모바일 앱(HappyRoad)에는 봉천역에 06:38쯤도착예정이어서 30분부터 45분까지 계속 버스가 오나보고있었는데 버스가 오질 않더군요. 덕분에 지하철타고와서 지각했습니다. 답변 바랍니다. (+부천 방면 출근 버스 노선도 모바일앱(happyRoad)에 자세히기재 해 주셨으면 좋겠습니다.애매한 위치는 자세한 위치를 앱에 따로 기재해주셨으면 좋겠습니다. )"
"2019-03-13 오전 10:23:07","happyroad 어플이용 관련 문의 사항.",">  >","","","셔틀버스를 이용하고 있는데 이제 노선 및 시간 검색을 하려면 happyroad 어플을 이용해야 한다고 해서 어플 설치 후  id 인증하려 하였으나 인증이 되지 않습니다. 혹 협력사는 어플을 사용할 수 없는것인지..? 혹 협력사는 어플이용이 어렵다고 한다면 노선 및 시간을 달리 알 수 있는 방법이 없는지 문의 드리고 싶습니다."
"2019-03-12","다이어트 set메뉴 컵 과일 곰팡이피어  있음.","secret","","",""
"2019-03-12 오후 3:59:27","분실물문의",">  >","","","19.03.12일 (금일) 수영장에서 소니 방수이어폰을 잃어 버렸습니다. 이에, 분실물 접수가 되었는지 문의 드립니다.바쁘신데 도움주셔서 감사합니다."
"2019-03-12 오전 9:01:51","하남 미사 지역 조출버스 증차 부탁 드립니다.","통근/셔틀버스 > 이천 > 장거리출근 > 하남미사선","건의 - 노선(정류장)신설 및 증차","2019-03-12","최근 미사지역 인원이 늘어 버스가 꽉차 택시 타시는 인원도 늘고 있어서 증차가 필요합니다. 타지역처럼 1시간정도 일찍 출발하는 조출버스 증차 검토 부탁 드립니다.감사합니다."
"2019-03-11 오후 2:38:24","통근 버스 개선 요청드립니다.",">  >","","","통근 버스 카테고리 이동하여 다시 올립니다.청주 -> 이천 통근 버스 이용하는 구성원입니다.최근 복대동(금호어울림 출발) 노선의 버스가 안전과 불편한 내용으로 운행되고 있습니다.처음에는 임시 버스려니 하고 이용하고 있지만 동일 버스가 배차되고 있습니다.혹시나 기사님에 대한 내용이 아닌 버스 시설 자체의 문제를 말씀드리고자 합니다.1. 안전밸트 사용이 안되는 좌석이 있습니다.(앞쪽 대부분 - 밸트는 있지만 당겨지지 않음)2. 커튼이 아예 없습니다. 하절기로 넘어가면서 일출 시간이 빨라지면서 아침 출근시 대부분이 수면을 하는데 어려움이 있습니다.3. 버스의 연식과 고장 여부는 파악되지 않으나 버스 점검에 대한 의심이 됩니다. 3/8일,7시45분경, 이천 회사 정문 앞 부근에서 5분 이내의 엔진 꺼짐으로 도로에 서 있었고, 다행이 시동이 다시 걸려 재운행이 가능했습니다.안전과 소소하지만 불편한 내용을 말씀드려 봅니다. 긍정적인 검토와 개선 부탁드립니다. 감사합니다."
"2019-03-11","중앙식당야식","secret","","",""
"2019-03-10","샐러드 드레싱 문의 드립니다","secret","","",""
"2019-03-09 오후 10:04:27","요플레","식당 > 청주 > 1캠퍼스 > 석식","불편 - 맛&품질","2019-03-08","매주 금요일날 나오던 요플레는 1인 4끼 무료로 바뀐다음에는 왜 나오지 않는거죠?????어느 순간부터 샐러드바에 과자도 강정 한종류만 나오고.....요플레 주세요!!매주 금요일 기다렸단말입니다!!!!!!!!"
"2019-03-09 오후 6:31:44","박실장님 칭찬합니다.","식당 > 이천 > 복지관 > 중식","칭찬 - 맛&품질","2019-03-09","맛있는 반찬에 대해 물어보니 친절하게 답변해 주셔서 감사합니다."
"2019-03-09 오후 6:27:37","박실장님 칭찬합니다.",">  >","","","반찬에 대해 물어 보니 친절하게 답변주셔서 감사합니다."
"2019-03-09 오전 11:45:12","집에 맨발로 갈 뻔 했어요","통근/셔틀버스 > 이천 > 장거리퇴근 > 천호답십리선","불편 - 기타","2019-03-08","우리 출되근 버스는 찜질방인가요요즘같은 날씨에 출발할때 잠깐 트는 것도 아니고한시간 내내......발 옆에서 뜨거운 바람이 계속 나오니이러다가 내 신발이 녹아서 집에는 맨발로 가겠구나 싶었어요심비어 중간 정차때 기사님에게 꺼달라고도 했습니다제발 히터 좀... 이제 3월이라구요!"
"2019-03-09","시간 변경해주세요","secret","","",""
"2019-03-09 오전 1:13:04","궁금한게 있는데요 왜 부식은 유통기한이 하루인가요?",">  >","","","요 몇일 계속 타고 유통기한을 확인을 하니 하루전이던군요 야간 C조때 부식을 타게되면 유통기한이 채 하루도 안됩니다 이거에 대해서 설명 부탁드립니다"
"2019-03-08 오후 4:22:20","통근 버스 환경 개선 부탁드립니다.",">  >","","","청주 -> 이천 통근 버스 이용하는 구성원입니다.최근 복대동(금호어울림 출발) 노선의 버스가 안전과 불편한 내용으로 운행되고 있습니다.처음에는 임시 버스려니 하고 이용하고 있지만 동일 버스가 배차되고 있습니다.혹시나 기사님에 대한 내용이 아닌 버스 시설 자체의 문제를 말씀드리고자 합니다.1. 안전밸트 사용이 안되는 좌석이 있습니다.(앞쪽 대부분 - 밸트는 있지만 당겨지지 않음)2. 커튼이 아예 없습니다.  하절기로 넘어가면서 일출 시간이 빨라지면서 아침 출근시 대부분이 수면을 하는데 어려움이 있습니다.3. 버스의 연식과 고장 여부는 파악되지 않으나 버스 점검에 대한 의심이 됩니다. 3/8일,7시45분경, 이천 회사 정문 앞 부근에서 5분 이내의 엔진 꺼짐으로 도로에 서 있었고, 다행이 시동이 다시 걸려 재운행이 가능했습니다.안전과 소소하지만 불편한 내용을 말씀드려 봅니다. 긍정적인 검토와 개선 부탁드립니다. 감사합니다."
"2019-03-08 오후 1:00:53","분실물 문의",">  >","","","날짜는 정확하지 않으나 약 일주일전에 검은색안경을 분실하였습니다 혹시 소지하고 계신지 문의드립니다"
"2019-03-08 오후 12:59:05","분실문 문의",">  >","","","안녕하세요혹시 VoC발생일이 정확하게 기억나지 않은데 검은색안경을 잃어버렸습니다.소지하고 계신가해서 문의드립니다"
"2019-03-08 오후 12:58:12","분실문 문의",">  >","","","안녕하세요혹시 VoC발생일이 정확하게 기억나지 않은데 검은색안경을 잃어버렸습니다.소지하고 계신가해서 문의드립니다"
"2019-03-07 오후 9:36:22","복지회관 식당 밥 맛 좋아요 그리고 박실장님 친절하셔서 칭찬합니다.","식당 > 이천 > 복지관 > 석식","칭찬 - 맛&품질","2019-03-07","복지회관 식당에서 밥 먹으면 식욕이 살아나요  그리고 박실장님 친절합니다."
"2019-03-07","분실물 문의요","secret","","",""
"2019-03-07 오후 5:59:55","정정미 영양사님을 칭찬합니다","식당 > 이천 > 행복2 > 중식","칭찬 - 친절","2019-03-07","오늘 점심에 기숙사식당에 편의식을 타러갔는데뭐가 뭔지 몰라 가만히 서있었는데 정정미 영양사님이 다가와서설명도 조곤조곤하게 잘 해주시고 친절하게 대해주셔서기분이 너무 좋았고 정말 감사했습니다."
"2019-03-07 오후 5:02:52","식사 시간 변경 적용 해주세요",">  >","","","식사 시간 변경 적용 해주세요"
"2019-03-07 오전 11:07:56","식단메뉴(가성비)에 대한 불만",">  >","","","안녕하세요. 외부에서 하이닉스로 파견나와 하이닉스를 위해 열심히 일하고 있는 외부직원입니다.주로 중앙식당을 이용합니다.그런데 말입니다.구내식당치고는 현금가 5,900원은 좀 비싼 편 아닌가요?더군다나 5,900원짜리 식단치고는 조금(많이?) 부실한 것 같습니다.얼핏 하이닉스 직원은 엄청 저렴한 가격인지 무료인지라고 들었습니다만 그 적자를 메우기 위해 외부직원들에게 부담시키는 것은 아닌지 하는 생각이 드네요.그리고 청운식당이 그나마 식단이 좋은 편인데 또 외부직원은 아예 사용을 못하게 하더군요.이렇게 외부직원에 대한 차별이 심한 기업이 초일류기업으로 도약할 수 있을까요?물론 기분나쁘면 나가서 먹으라던지 하이닉스에서 외부직원으로 일하지 말라고 하실수도 있겠지만 조금 더 신경을 써 주셔서외부직원들이 이천SK하이닉스를 들어가서 일할때 이것만큼은 좋았다라는 말을 할 수 있는 세상이 빨리 왔으면 좋겠다는 생각입니다.같이 파견나온 사람들 대부분이 이리 말하는 것을 보면 저 혼자만의 생각은 아닐거라고 확신합니다.제가 여기에 글을 남긴다고 뭐 달라질거라고는 기대하지 않습니다만 몇달씩 있으면서 갖고 있던 불만을 한번이라도 얘기해보고 싶었습니다.수고하세요."
"2019-03-06","셔틀 탑승 문의","secret","","",""
"2019-03-06 오전 10:47:19","편의식  종류가 너무 줄었어요. 머핀세트 돌려달라~","식당 > 이천 > 중앙 > 조식","건의","2019-03-06","그리고 중앙식당 편의식 동선 좀 개선해주세요자유선택 4개 하고나면 막다른 골목. 나가려면 연어처럼 거슬러올라가야 하네요"
"2019-03-06 오전 9:48:40","김반장님 및 기사님들 감사합니다","통근/셔틀버스 > 셔틀 > 이천사내셔틀","","2018-03-06","김반장님 및 기사님들 감사합니다통근버스 주차장 이동 후 사내순환셔틀 편리하게 이용하고 있습니다항상 친절하게 운행하시는 모습에 늘 감사하는 마음은 있었으나 표현하지 못하고 있었습니다.이 자리를 빌어 감사의 마음 전합니다"
"2019-03-06","도착 시간 지연","secret","","",""
"2019-03-06 오전 8:37:29","청주 2캠퍼스 식당아주머니분들 칭찬합니다.",">  >","","","간편식이 제대로 된 공지 없이 개편된 이후로 많은 분들께서 혼란을 느끼고 선택에 문제가 많았습니다. 하지만 항상 밝은 미소로 반겨주시며 설명을 해주시고 친절을 베푸셔서 간편식을 가져가기에 수월했습니다. 날이 갈수록 목소리가 쉬어 가는 모습을 보니 안타깝기도 합니다.항상 감사합니다"
"2019-03-06 오전 8:30:46","김옥수 여사님을 칭찬합니다.","식당 > 청주 > 2캠퍼스 > 조식","칭찬 - 친절","2019-03-05","김옥수 여사님을 칭찬합니다.항상 웃으면서 인사해주시고, 불편사항 물어봐주시고,음식이 짠지 매운지 확인해서 개선 할려고 해주시고,편의식 설명 잘해주셔서 감사합니다. 설명을 많이 하셔서 목이 쉬었는데 안타깝습니다.김옥수 여사님을 칭찬합니다. 식당에 밥먹으러 가는 시간이 기다려집니다. 감사합니다.^^"
"2019-03-06 오전 8:27:52","김옥수(?) 여사님을 칭찬합니다.",">  >","","","김옥수(?) 여사님을 칭찬합니다.밥먹으러 식당 가는 시간이 기다려 집니다.맨날 웃으면서 인사 해주시고, 불편사항 확인 해 주시고...음식이 짠지 , 매운지 , 물어봐주시고... 뭔가 개선 할려고 노력을 많이 하는 것 같습니다.이번에 변경 된 편의식 관련해서도 설명도 친절하게 해주시고... 얼마나 많이 설명을 하셨는지 목이 다 쉬어서 안타까웠습니다.모든 사원들을 챙겨 주시는 김옥수(?) 여사님을 칭찬합니다.이름표를 보고 확인을 했는데 이름이 잘 기억이 나지 않습니다... 여튼 감사합니다."
"2019-03-06 오전 8:04:57","청주 2캠퍼스 김옥수 (?) 여사님을  칭찬합니다",">  >","","","항상 웃으면서 인사해주고  불편사항 물어 보셔서 얘기하면 바로바로 해결 해주고 밥 맛을 살아나게 해줍니다 바뀐 편의식 설명도 잘해주시고 설명한다고 목도 쉬어서 안타까웠습니다김옥수?(?) 여사님을 칭찬합니다"
"2019-03-05","사당행 퇴근버스에서 핸드폰을 놓고 내렸습니다.","secret","","",""
"2019-03-05","친절한 영양사님 감사합니다","secret","","",""
"2019-03-05 오후 4:27:47","박태준실장님을 칭찬합니다.","식당 > 이천 > 복지관 > 조식","칭찬 - 친절","2019-03-04","3월 4일 아침 빵코너가 변경되어 어수선하고 복잡한 상황에 무었을 어떻게 선택을해야하나 당황되는 순간 박태준실장님의 친철한 설명으로 맛있는 빵과 간식을즐겁게 먹을 수 있어 그날 하루가 즐거운 하루였습니다.다시한번 친철한 박태준실장님을 칭찬합니다"
"2019-03-05","HappyRoad ID인증","secret","","",""
"2019-03-05 오후 12:08:35","편의식 메뉴 추가 외 1개의 건의사항",">  >","","","안녕하세요.중앙식당을 자주 이용하고있는 구성원입니다.4끼 모두 편의식을 받을 수 있게 되어  좋은데요.현재 4층 진열대에서 층별로 1개씩 가져가야 하는데맨위 빵(밀가루ㅠ) 외에도 쌀빵이라거나 죽아니면 김밥있었으면 합니다.또는 받고싶은 층에서 1개를  대신 가져가도록 하면 좋겠습니다.각층에서  1개씩 가져가는 제약이 없으면 더 좋겠어요!  그리고 이것은 아쉬움인데 전보다 전체적으로 다양성이 떨어진거같아요.. 비피더스요구르트, 뚜레주르 머핀, 샤니 스티커빵, 파리바게트의 다양한 빵들..아 샌드위치도 맛있었는데 그리고 흰우유도 매일 남양 서울 고를수 있었고 고칼슘저지방,딸기,바나나,커피등등 올바른한끼도 맛있었고 물만4개 받고싶은데 셋트에있네요.선택의 폭이 좁아져버렸어요.ㅜ아쉬워요..요며칠 개선된 편의식을 제공받으며 느낀 바람과 아쉬움을 적어보았습니다. 그럼..식당에서 신경써서 식사제공해주시는 모든분들 감사드리구요 수고하세요~~"
"2019-03-05","아침편의식 봉투나눠주시는 아저씨","secret","","",""
"2019-03-05 오전 8:20:59","편의식 카테고리?? 없에주세요 제발",">  >","","","누구 머리에서 나온 생각인지 몰라도 이게 뭐하는 짓인가요?자유롭게 가져가게 해주세요 제발"
"2019-03-05","편의식 관련 문의드립니다.","secret","","",""
"2019-03-05","잘먹었습니다.","secret","","",""
"2019-03-05 오전 1:25:33","잘먹었습니다",">  >","","","27일조식으로 나온 소고기김치죽 너무 맛있었어요자주 나오면 좋겠습니다!!^^"
"2019-03-04 오후 10:00:02","편의식 건의 드립니다!",">  >","","","아침부터 나오셔서 힘드실텐데 모든 구성원들분께 웃으면서 설명해주셔서 정말 감사드립니다!편의식 개편으로 인해 다양한 먹거리가 생긴것 같아 좋습니다! 다만.. 기존에 있던 음료들 (두유..)이 추가가 된다면 조금더 좋을것 같습니다!항상 좋은 방향으로 발전되는것 같아 감사합니다!"
"2019-03-04","편의식 건의","secret","","",""
"2019-03-04","청주->이천 셔틀버스 이용 문의 드립니다.","secret","","",""
"2019-03-04 오후 2:02:23","강남 퇴근 노선 증차",">  >","","","강남 퇴근 버스 좀 증차해주세요 ㅠㅠ50분 전에 도착했는데도 만석이라 기사님 옆에 간의의자에 앉아 갔습니다..제가 마지막으로 타고 나서도 많은 분들이 오셨다가 만석이라 못 타고 돌아가시더라구요 ㅠㅠ5시 신설, 6시 증차 좀 부탁드립니다.."
"2019-03-03","드레싱 문의드립니다","secret","","",""
"2019-03-03 오전 1:32:37","편의식 기존 코인시스템으로 변경합시다","식당 > 청주 > 3캠퍼스 > 중식","건의","2019-03-03","구성원 건강생각하며 편의식 개편했다면서 이건 뭐 선택의 자유도 박탈당하고 독재네요 독재.기존처럼 코인형태+ 건강식8종 추가하면 얼마나좋아요?칭찬안할래야 안할수가 없을텐데 굳이 잘돌아가던 코인 시스템까지 건드려서 욕을 바가지로 드시는지 이해할수가없습니다생각이 있으면 바꿉시다"
"2019-03-02 오후 7:43:54","청운식당",">  >","","","금일 석식 시간에 먹고 나니 부실하다는 생각이들어서 메뉴를 보니 메인 메뉴 배식이 안되었네요.... 다른걸로 변경이 된건 아닌듯 싶은데...추가로 샐러드위에 토핑이 올라가 있는데 너무 소량이고 사람이 많을때는 채소만 남아있습니다..기존처럼 별도로 나누어서 제공하면 좋겠습니다"
"2019-03-02 오전 10:28:28","편의식 선택방법 개선해주세요","식당 > 이천 > 중앙 > 조식","건의","2019-03-01","식당에서 편의식 선택방법을 셋트메뉴로 새롭게 구성하였는데,  편의식 선택방법을 셋트메뉴와 기존 코인방식 둘중 원하는 방식으로 선택할수있게 해주세요."
"2019-03-02 오전 7:17:50","편의식 시스템 뭔가요?",">  >","","","다시 돌려놔주세요. 말도안되게해놓으셨네요"
"2019-03-02","식판 위에 물컵 올리면 혼나는 건가요?","secret","","",""
"2019-03-01 오후 11:43:27","제발요 히터종 꺼주세요",">  >","","","제발제발제발요 히터 좀 꺼주세요요즘날씨가 추을가요 더워서  숭이 막히네요저번에도 올렿는데  왜 여주선 기서님은  많이 추우신가요"
"2019-03-01 오전 9:41:42","분실물 문의",">  >","","","사당행 10시차에서 휴대폰을 두고 내린것 같습니다...혹시 분실물 들어온거 있나요?"
"2019-03-01 오전 8:26:26","휴대폰 분실",">  >","","","2.28일. 밤 9시출발.  망포,  or. 망포능리선을 타고 퇴근했는데요.  휴대폰을 두고 내린것같습니다. 확인되시면 아래 연락처로 연락 부탁드립니다.010 6343 8204"
"2019-03-01 오전 7:16:22","기사아저씨 감사합니다.","통근/셔틀버스 > 이천 > 3교대퇴근 > 신하/관고","칭찬 - 친절","2019-03-01","2019/3/1 오전 6:30 경 OB앞에서 출근버스를 놓쳐 도로위에 안절부절 서있었는데, 지나가시던 기사아저씨가 버스를 태워주셨습니다. 운행하던 버스는 아니였고, 회사로 들어가던 차량이었습니다. 이른 시간이라 택시도 시내버스도 운행하지 않던 상황이었는데, 기사아저씨 덕분에 지각도 하지 않고 회사로 출근할 수 있었습니다. 게다가 밥까지 먹고 가라며, 중앙식당까지 태워 주셨습니다.  성함은 못 물어 봤지만.. 정말 감사하다고 인사드리고 싶습니다.정말 정말 감사합니다 ^^* 아저씨 덕분에 늦지 않고 출근했어요~ 감사합니다~~^^*"
"2019-02-28 오후 11:27:41","평일 기숙사 석식 너무 혼잡합니다.","식당 > 청주 > 기숙사 > 석식","불편 - 혼잡","2019-01-01","글이 자꾸 작성이 안되서 올라가면 수정할게요..ㅡ;"
"2019-02-28 오후 11:26:05","평일 석식기숙사식당 너무 혼잡합니다.",">  >","","","안녕하세요. 교대근무자입니다.평소 기숙사식당에 19시 20분경 출발하면 줄없이 바로 먹을 수 있어 1년여 동안 생활했습니다.그런데 19년 들어와서부터 사람이 몰리더니 식사대기줄이 ATM기를 넘어 헬스장입구까지 줄을 서있는 모습을 봤습니다. 19시 쯤이였는데 저도 그당시에 있었고 줄만 30분 기다린거같네요.혹시 사람이 증가된 이유가 신입사원 때문인가요 .. ?19시 이후부터 이용하는 시간이 혼잡으로 바뀐건가요.. 알고싶습니다.항상 밥은 맛있게 잘먹고 있습니다. 감사합니다."
"2019-02-28 오후 1:40:36","체육시설 출입문 타각 문의",">  >","","","기숙사식당 지하 헬스장에  출입증 타각기가 있는데 제 상시출입증으론 타각이 안되네요 같은회사 타직원은 타각이 되구요따로 신청해야 하나요 ?? 회사는  (주)조일이씨에스 이름:김규진 생년월일:92.10.07 입니다"
